contact_id,customer_id,contact_date,channel,proposed_product,result,employee_id,note
H000001,C00001,2026-01-22,メール,外国債券,情報提供のみ,E023,外国債券を提案。前向きな反応。
H000002,C00001,2025-10-20,メール,NISA,再訪問予定,E023,NISAを提案。前向きな反応。
H000003,C00002,2025-12-06,メール,NISA,見送り,E039,NISAを提案。反応は限定的。
H000004,C00003,2026-04-22,来店,投資信託,再訪問予定,E049,投資信託を提案。前向きな反応。
H000005,C00003,2025-05-12,メール,外国債券,情報提供のみ,E049,外国債券を提案。前向きな反応。
H000006,C00005,2026-03-20,電話,相続コンサル,検討中,E005,相続コンサルを提案。前向きな反応。
H000007,C00006,2025-08-27,メール,外貨預金,検討中,E043,外貨預金を提案。前向きな反応。
H000008,C00006,2024-08-01,訪問,国内債券,検討中,E043,国内債券を提案。前向きな反応。
H000009,C00006,2025-07-05,来店,外国債券,検討中,E043,外国債券を提案。前向きな反応。
H000010,C00008,2025-12-03,訪問,ファンドラップ,情報提供のみ,E040,ファンドラップを提案。前向きな反応。
H000011,C00008,2025-11-30,オンライン面談,投資信託,成約,E040,投資信託を提案。前向きな反応。
H000012,C00009,2025-11-26,メール,相続コンサル,再訪問予定,E073,相続コンサルを提案。前向きな反応。
H000013,C00009,2025-02-13,電話,一時払い保険,情報提供のみ,E073,一時払い保険を提案。前向きな反応。
H000014,C00009,2025-08-30,オンライン面談,NISA,検討中,E073,NISAを提案。前向きな反応。
H000015,C00009,2025-11-20,訪問,相続コンサル,成約,E073,相続コンサルを提案。前向きな反応。
H000016,C00010,2026-01-20,訪問,外国債券,見送り,E009,外国債券を提案。反応は限定的。
H000017,C00010,2025-06-17,来店,外国債券,再訪問予定,E009,外国債券を提案。前向きな反応。
H000018,C00010,2025-10-28,来店,一時払い保険,見送り,E009,一時払い保険を提案。反応は限定的。
H000019,C00010,2025-09-25,メール,NISA,成約,E009,NISAを提案。前向きな反応。
H000020,C00010,2025-07-27,オンライン面談,ファンドラップ,情報提供のみ,E009,ファンドラップを提案。前向きな反応。
H000021,C00011,2026-07-24,メール,NISA,情報提供のみ,E075,NISAを提案。前向きな反応。
H000022,C00011,2025-09-02,電話,NISA,情報提供のみ,E075,NISAを提案。前向きな反応。
H000023,C00011,2025-11-03,電話,外貨預金,成約,E075,外貨預金を提案。前向きな反応。
H000024,C00011,2025-08-15,オンライン面談,一時払い保険,見送り,E075,一時払い保険を提案。反応は限定的。
H000025,C00012,2026-02-13,訪問,投資信託,成約,E014,投資信託を提案。前向きな反応。
H000026,C00012,2025-07-09,訪問,外貨預金,見送り,E014,外貨預金を提案。反応は限定的。
H000027,C00013,2025-09-18,メール,NISA,再訪問予定,E060,NISAを提案。前向きな反応。
H000028,C00013,2025-06-10,来店,国内債券,成約,E060,国内債券を提案。前向きな反応。
H000029,C00014,2025-11-13,メール,外貨預金,情報提供のみ,E001,外貨預金を提案。前向きな反応。
H000030,C00015,2025-07-22,メール,国内債券,検討中,E016,国内債券を提案。前向きな反応。
H000031,C00015,2024-06-21,メール,一時払い保険,成約,E016,一時払い保険を提案。前向きな反応。
